State,County,Total Population,Young Children (0–4 years),Children (5–14 years),Adolescents (15–19 years),Young Adults (20–24 years),Emerging Workforce (25–34 years),Prime Working Age (35–54 years),Pre-Retirement (55–64 years),Seniors (65+ years),Diversity Index,Hispanic or Latino Population,Non-Hispanic or Latino Population,Hispanic or Latino Percentage,Non-Hispanic or Latino Percentage,State_Abbr
Alabama,Fayette County,16173.0,786.0,1992.0,1349.0,826.0,1721.0,3722.0,2282.0,3495.0,0.2706788237698955,184.0,15989.0,1.1376986335250108,98.862301366475,AL
Alabama,Franklin County,31978.0,2162.0,4475.0,2375.0,1810.0,3768.0,7835.0,4060.0,5493.0,0.40367673189352316,6341.0,25637.0,19.829257614610043,80.17074238538996,AL
Alabama,Geneva County,26726.0,1434.0,3424.0,1545.0,1354.0,2973.0,6664.0,3876.0,5456.0,0.2790882145342307,1353.0,25373.0,5.062485968719599,94.9375140312804,AL
Alabama,Greene County,7589.0,307.0,1063.0,382.0,563.0,858.0,1418.0,1180.0,1818.0,0.3034362157113024,57.0,7532.0,0.7510870997496376,99.24891290025036,AL
Alabama,Hale County,14749.0,969.0,2047.0,981.0,784.0,1645.0,3321.0,2066.0,2936.0,0.5390069987587769,129.0,14620.0,0.8746355685131195,99.12536443148689,AL
Alabama,Henry County,17450.0,848.0,2020.0,1046.0,814.0,1936.0,4309.0,2404.0,4073.0,0.43215868506826716,374.0,17076.0,2.1432664756446993,97.8567335243553,AL
Alabama,Houston County,107628.0,6706.0,13736.0,6663.0,6033.0,13572.0,26872.0,14257.0,19789.0,0.4947979919516444,4680.0,102948.0,4.348310848478091,95.65168915152191,AL
Alabama,Jackson County,52839.0,2773.0,6205.0,3033.0,2938.0,5993.0,13297.0,7596.0,11004.0,0.20500445572119652,1777.0,51062.0,3.3630462347886976,96.6369537652113,AL
Alabama,Jefferson County,669744.0,41493.0,86680.0,44152.0,42826.0,94922.0,166163.0,83326.0,110182.0,0.5747702971677305,35103.0,634641.0,5.241256360639289,94.75874363936072,AL
Alabama,Lamar County,13809.0,919.0,1627.0,767.0,670.0,1517.0,3317.0,1929.0,3063.0,0.24096183345233102,255.0,13554.0,1.8466217684119053,98.15337823158809,AL
Alabama,Lauderdale County,95037.0,4764.0,10435.0,6722.0,8185.0,11256.0,21818.0,12685.0,19172.0,0.2915537641995095,3163.0,91874.0,3.3281774466786618,96.67182255332133,AL
